Reading Level Results For Enrolled Children  - 2006 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.0882,0.1295,0.1439,0.1776,0.4608,1.0000
Andhra Pradesh & Telengana,0.0342,0.1236,0.1713,0.2016,0.4692,1.0000
Arunachal Pradesh,0.1082,0.1553,0.1818,0.1553,0.3994,1.0000
Assam,0.1385,0.1057,0.1372,0.1696,0.4490,1.0000
Bihar,0.1314,0.1642,0.1371,0.1475,0.4198,1.0000
Chhattisgarh,0.0677,0.1735,0.1610,0.1508,0.4470,1.0000
Dadra & Nagar Haveli,0.0435,0.1366,0.1933,0.2490,0.3775,1.0000
Daman & Diu,0.0223,0.0501,0.1504,0.1235,0.6537,1.0000
Goa,0.0101,0.0433,0.0999,0.1696,0.6770,1.0000
Gujarat,0.0628,0.0971,0.1500,0.2186,0.4714,1.0000
Haryana,0.0618,0.1012,0.0965,0.1203,0.6201,1.0000
Himachal Pradesh,0.0357,0.1100,0.0940,0.1293,0.6310,1.0000
Jammu & Kashmir,0.0322,0.0829,0.2335,0.2366,0.4147,1.0000
Jharkhand,0.1099,0.1421,0.1626,0.1596,0.4259,1.0000
Karnataka,0.0670,0.1422,0.1628,0.2422,0.3859,1.0000
Kerala,0.0042,0.0524,0.1217,0.1491,0.6725,1.0000
Madhya Pradesh,0.0391,0.1001,0.1744,0.1783,0.5080,1.0000
Maharashtra,0.0359,0.0767,0.1294,0.2195,0.5385,1.0000
Manipur,0.0803,0.1031,0.1997,0.2553,0.3617,1.0000
Meghalaya,0.0309,0.1214,0.1983,0.1891,0.4603,1.0000
Mizoram,0.0491,0.0505,0.1173,0.1366,0.6464,1.0000
Nagaland,0.0212,0.1306,0.2238,0.1988,0.4255,1.0000
Odisha,0.0846,0.1161,0.1356,0.1624,0.5014,1.0000
Pondicherry,0.0742,0.1303,0.1517,0.2240,0.4198,1.0000
Punjab,0.0482,0.1381,0.1274,0.1694,0.5169,1.0000
Rajasthan,0.1318,0.1064,0.1176,0.1315,0.5127,1.0000
Sikkim,NA,NA,NA,NA,NA,NA
Tamil Nadu,0.0977,0.1240,0.1644,0.2002,0.4137,1.0000
Tripura,0.0135,0.0772,0.1898,0.3084,0.4111,1.0000
Uttar Pradesh,0.1517,0.1722,0.1376,0.1658,0.3728,1.0000
Uttarakhand,0.0349,0.1232,0.1227,0.1434,0.5757,1.0000
West Bengal,0.0283,0.1144,0.1334,0.2108,0.5130,1.0000
