Arithmetic Level Results for Enrolled Children - 2008 : All,,,,,,
State,Nothing,NumRec1-9,NumRec11-,Subtracti,Division,Total
All India,0.0781,0.1617,0.2025,0.2127,0.3450,1.0000
Andhra Pradesh & Telengana,0.0326,0.0966,0.2483,0.2586,0.3639,1.0000
Arunachal Pradesh,0.0270,0.1225,0.2041,0.2454,0.4011,1.0000
Assam,0.0766,0.2090,0.2351,0.2583,0.2211,1.0000
Bihar,0.1207,0.1805,0.1553,0.1699,0.3735,1.0000
Chhattisgarh,0.0161,0.0909,0.1969,0.2346,0.4615,1.0000
Dadra & Nagar Haveli,0.0189,0.1168,0.1813,0.2136,0.4694,1.0000
Daman & Diu,0.0329,0.1310,0.1941,0.2994,0.3425,1.0000
Goa,0.0077,0.0742,0.1412,0.2249,0.5520,1.0000
Gujarat,0.0784,0.1864,0.2277,0.2241,0.2834,1.0000
Haryana,0.0631,0.1328,0.1471,0.1721,0.4849,1.0000
Himachal Pradesh,0.0206,0.0963,0.1585,0.2112,0.5134,1.0000
Jammu & Kashmir,0.0361,0.1190,0.2586,0.3001,0.2862,1.0000
Jharkhand,0.1106,0.1936,0.1913,0.2067,0.2978,1.0000
Karnataka,0.0487,0.1343,0.3216,0.2695,0.2259,1.0000
Kerala,0.0076,0.0537,0.1976,0.2766,0.4644,1.0000
Madhya Pradesh,0.0115,0.1177,0.1424,0.1797,0.5487,1.0000
Maharashtra,0.0274,0.1409,0.1916,0.2321,0.4080,1.0000
Manipur,0.0089,0.0765,0.2521,0.2570,0.4054,1.0000
Meghalaya,0.0359,0.1438,0.3113,0.2657,0.2433,1.0000
Mizoram,0.0238,0.0901,0.1618,0.2080,0.5163,1.0000
Nagaland,0.0124,0.0839,0.2935,0.2595,0.3508,1.0000
Odisha,0.0785,0.1560,0.1803,0.2282,0.3569,1.0000
Pondicherry,0.0416,0.0877,0.2600,0.2207,0.3900,1.0000
Punjab,0.0473,0.1572,0.1595,0.2424,0.3937,1.0000
Rajasthan,0.0980,0.1798,0.1725,0.1766,0.3730,1.0000
Sikkim,0.0154,0.0781,0.2288,0.2841,0.3936,1.0000
Tamil Nadu,0.0851,0.1003,0.2676,0.2716,0.2754,1.0000
Tripura,0.0624,0.1156,0.2388,0.2908,0.2925,1.0000
Uttar Pradesh,0.1528,0.2435,0.1989,0.1613,0.2435,1.0000
Uttarakhand,0.0595,0.1574,0.1763,0.2133,0.3935,1.0000
West Bengal,0.0503,0.1708,0.2078,0.2351,0.3360,1.0000
