Enrolment Levels in School - 2008 : All,,,,,
State,Govt,Pvt,Other,Out of School,Total
All India,0.6971,0.2300,0.0128,0.0602,1.0000
Andhra Pradesh & Telengana,0.6707,0.2743,0.0011,0.0539,1.0000
Arunachal Pradesh,0.7555,0.1703,0.0134,0.0608,1.0000
Assam,0.7301,0.1407,0.0528,0.0763,1.0000
Bihar,0.8280,0.0803,0.0248,0.0668,1.0000
Chhattisgarh,0.8091,0.1086,0.0027,0.0795,1.0000
Dadra & Nagar Haveli,0.8633,0.1033,0.0043,0.0291,1.0000
Daman & Diu,0.7053,0.2704,0.0085,0.0158,1.0000
Goa,0.5018,0.4956,0.0012,0.0015,1.0000
Gujarat,0.8419,0.0925,0.0033,0.0623,1.0000
Haryana,0.5520,0.4036,0.0038,0.0406,1.0000
Himachal Pradesh,0.7433,0.2449,0.0005,0.0113,1.0000
Jammu & Kashmir,0.5983,0.3534,0.0059,0.0424,1.0000
Jharkhand,0.8072,0.1024,0.0184,0.0720,1.0000
Karnataka,0.7561,0.1882,0.0030,0.0527,1.0000
Kerala,0.4873,0.5028,0.0064,0.0034,1.0000
Madhya Pradesh,0.7971,0.1626,0.0076,0.0327,1.0000
Maharashtra,0.6594,0.3104,0.0043,0.0259,1.0000
Manipur,0.3299,0.6270,0.0045,0.0386,1.0000
Meghalaya,0.4956,0.4608,0.0007,0.0429,1.0000
Mizoram,0.6932,0.2252,0.0240,0.0577,1.0000
Nagaland,0.5168,0.4186,0.0013,0.0634,1.0000
Odisha,0.8459,0.0504,0.0029,0.1009,1.0000
Pondicherry,0.7555,0.2371,0.0010,0.0065,1.0000
Punjab,0.5357,0.4172,0.0034,0.0437,1.0000
Rajasthan,0.5807,0.3218,0.0047,0.0928,1.0000
Sikkim,0.7202,0.2255,0.0062,0.0480,1.0000
Tamil Nadu,0.7745,0.2028,0.0036,0.0190,1.0000
Tripura,0.9233,0.0220,0.0021,0.0527,1.0000
Uttar Pradesh,0.5438,0.3577,0.0200,0.0785,1.0000
Uttarakhand,0.6991,0.2708,0.0117,0.0185,1.0000
West Bengal,0.8359,0.0532,0.0285,0.0823,1.0000
