Arithmetic Level Results for Enrolled Children - 2011 : All,,,,,,
State,Nothing,NR1to9,NR11to99,Subtraction,Division,Total
All India,0.0869,0.1774,0.2117,0.2221,0.3019,1.0000
Andhra Pradesh & Telengana,0.0397,0.1013,0.2458,0.2566,0.3566,1.0000
Arunachal Pradesh,0.0483,0.1250,0.2381,0.2525,0.3361,1.0000
Assam,0.0889,0.2249,0.2580,0.2431,0.1851,1.0000
Bihar,0.1376,0.1909,0.1610,0.1817,0.3288,1.0000
Chhattisgarh,0.0672,0.2192,0.2174,0.2419,0.2544,1.0000
Dadra & Nagar Haveli,0.0342,0.1947,0.2132,0.3079,0.2500,1.0000
Daman & Diu,0.0351,0.1653,0.2201,0.2689,0.3107,1.0000
Goa,0.0101,0.0975,0.2202,0.2790,0.3933,1.0000
Gujarat,0.0568,0.1689,0.2303,0.2547,0.2893,1.0000
Haryana,0.0511,0.1256,0.1633,0.1977,0.4622,1.0000
Himachal Pradesh,0.0131,0.0876,0.1705,0.2126,0.5161,1.0000
Jammu & Kashmir,0.0295,0.1281,0.2753,0.3198,0.2473,1.0000
Jharkhand,0.1248,0.2223,0.1872,0.1999,0.2658,1.0000
Karnataka,0.0445,0.1339,0.2818,0.2836,0.2562,1.0000
Kerala,0.0134,0.0584,0.2220,0.2627,0.4436,1.0000
Madhya Pradesh,0.1202,0.2469,0.2136,0.1927,0.2266,1.0000
Maharashtra,0.0275,0.1507,0.2120,0.2632,0.3466,1.0000
Manipur,0.0150,0.0774,0.2530,0.2565,0.3980,1.0000
Meghalaya,0.1261,0.2494,0.2983,0.1832,0.1431,1.0000
Mizoram,0.0110,0.1022,0.1884,0.2080,0.4904,1.0000
Nagaland,0.0253,0.1403,0.2755,0.2831,0.2757,1.0000
Odisha,0.0965,0.1677,0.2008,0.2319,0.3031,1.0000
Pondicherry,0.0355,0.0662,0.2539,0.2940,0.3504,1.0000
Punjab,0.0377,0.1280,0.1857,0.2220,0.4267,1.0000
Rajasthan,0.0944,0.1869,0.1840,0.1916,0.3431,1.0000
Sikkim,NA,NA,NA,NA,NA,NA
Tamil Nadu,0.0768,0.0937,0.2503,0.2913,0.2880,1.0000
Tripura,0.0323,0.1018,0.1769,0.2930,0.3960,1.0000
Uttar Pradesh,0.1414,0.2494,0.2058,0.1777,0.2257,1.0000
Uttarakhand,0.0705,0.1581,0.2094,0.2103,0.3517,1.0000
West Bengal,0.0410,0.1615,0.2214,0.2331,0.3430,1.0000
