Reading Level Results For Enrolled Children  - 2012 : All,,,,,,
State,Nothing,Letter,Word,Para,Story,Total
All India,0.1160,0.1720,0.1290,0.1340,0.4500,1.0000
Andhra Pradesh & Telengana,0.0690,0.1410,0.1530,0.1320,0.5060,1.0000
Arunachal Pradesh,0.0450,0.1330,0.1970,0.1700,0.4550,1.0000
Assam,0.1150,0.1940,0.1720,0.1540,0.3650,1.0000
Bihar,0.1740,0.1910,0.1240,0.1190,0.3910,1.0000
Chhattisgarh,0.0820,0.2010,0.1120,0.1300,0.4750,1.0000
Dadra & Nagar Haveli,0.0830,0.1470,0.1330,0.1990,0.4380,1.0000
Daman & Diu,0.0900,0.1200,0.1580,0.2230,0.4100,1.0000
Goa,0.0120,0.1070,0.1610,0.2290,0.4910,1.0000
Gujarat,0.0730,0.1390,0.1400,0.1700,0.4780,1.0000
Haryana,0.0760,0.1420,0.1070,0.1220,0.5530,1.0000
Himachal Pradesh,0.0350,0.1180,0.0900,0.1310,0.6250,1.0000
Jammu & Kashmir,0.0450,0.1810,0.1650,0.2090,0.4010,1.0000
Jharkhand,0.1310,0.2150,0.1440,0.1290,0.3810,1.0000
Karnataka,0.0570,0.1470,0.1620,0.1570,0.4770,1.0000
Kerala,0.0160,0.0830,0.1340,0.1520,0.6150,1.0000
Madhya Pradesh,0.1140,0.2240,0.1400,0.1300,0.3920,1.0000
Maharashtra,0.0820,0.1150,0.1180,0.1420,0.5430,1.0000
Manipur,0.0300,0.1970,0.1820,0.1470,0.4440,1.0000
Meghalaya,0.0720,0.1780,0.1950,0.1710,0.3830,1.0000
Mizoram,0.0240,0.1620,0.2150,0.1760,0.4230,1.0000
Nagaland,0.0330,0.1690,0.2160,0.1990,0.3830,1.0000
Odisha,0.1230,0.1360,0.1160,0.1340,0.4910,1.0000
Pondicherry,0.0980,0.1200,0.2030,0.2660,0.3120,1.0000
Punjab,0.0650,0.1630,0.1010,0.1060,0.5660,1.0000
Rajasthan,0.1280,0.1880,0.1020,0.1170,0.4650,1.0000
Sikkim,0.0080,0.0780,0.1730,0.2040,0.5380,1.0000
Tamil Nadu,0.1050,0.1010,0.1850,0.2040,0.4040,1.0000
Tripura,0.0550,0.1920,0.1560,0.2020,0.3940,1.0000
Uttar Pradesh,0.1850,0.2310,0.0980,0.1020,0.3840,1.0000
Uttarakhand,0.0920,0.1580,0.0980,0.1130,0.5380,1.0000
West Bengal,0.0860,0.1530,0.1310,0.1420,0.4880,1.0000
