Enrolment Levels in School - 2014 : All,,,,,
State,Govt,Pvt,Other,Out_of_School,Total
All India,0.6310,0.3070,0.0100,0.0510,1.0000
Andhra Pradesh & Telengana,0.5870,0.3680,0.0030,0.0410,1.0000
Arunachal Pradesh,0.7390,0.2320,0.0010,0.0280,1.0000
Assam,0.7640,0.1700,0.0180,0.0480,1.0000
Bihar,0.8180,0.1110,0.0150,0.0550,1.0000
Chhattisgarh,0.7870,0.1740,0.0010,0.0380,1.0000
Dadra & Nagar Haveli,0.7820,0.1340,0.0010,0.0830,1.0000
Daman & Diu,0.7780,0.2150,0.0000,0.0080,1.0000
Goa,0.3220,0.6740,0.0000,0.0040,1.0000
Gujarat,0.7950,0.1470,0.0010,0.0570,1.0000
Haryana,0.4370,0.5330,0.0030,0.0270,1.0000
Himachal Pradesh,0.6590,0.3340,0.0000,0.0070,1.0000
Jammu & Kashmir,0.5090,0.4440,0.0080,0.0390,1.0000
Jharkhand,0.7540,0.1750,0.0100,0.0610,1.0000
Karnataka,0.7020,0.2620,0.0040,0.0320,1.0000
Kerala,0.3710,0.6240,0.0020,0.0020,1.0000
Madhya Pradesh,0.7310,0.2090,0.0020,0.0590,1.0000
Maharashtra,0.5560,0.4170,0.0010,0.0260,1.0000
Manipur,0.2390,0.7320,0.0050,0.0230,1.0000
Meghalaya,0.4110,0.5150,0.0160,0.0580,1.0000
Mizoram,0.5920,0.3950,0.0000,0.0130,1.0000
Nagaland,0.5730,0.3830,0.0010,0.0440,1.0000
Odisha,0.8470,0.0930,0.0000,0.0600,1.0000
Pondicherry,0.4910,0.5060,0.0010,0.0030,1.0000
Punjab,0.4910,0.4840,0.0010,0.0240,1.0000
Rajasthan,0.5100,0.4050,0.0030,0.0820,1.0000
Sikkim,0.6840,0.3000,0.0000,0.0160,1.0000
Tamil Nadu,0.6760,0.3050,0.0010,0.0180,1.0000
Tripura,0.8800,0.0980,0.0080,0.0140,1.0000
Uttar Pradesh,0.3970,0.5090,0.0230,0.0710,1.0000
Uttarakhand,0.6130,0.3540,0.0070,0.0260,1.0000
West Bengal,0.8420,0.0840,0.0250,0.0490,1.0000
