Reading Level Results For Enrolled Children  - 2014 : All,,,,,,
State,Nothing,Letter,Word,Std1_Para,Std2_Para,Total
All India,0.1350,0.1560,0.1200,0.1280,0.4610,1.0000
Andhra Pradesh & Telengana,0.1050,0.1310,0.1530,0.1450,0.4660,1.0000
Arunachal Pradesh,0.1130,0.1930,0.2320,0.1750,0.2870,1.0000
Assam,0.1480,0.1640,0.1820,0.1650,0.3410,1.0000
Bihar,0.2100,0.1650,0.0900,0.0940,0.4400,1.0000
Chhattisgarh,0.1100,0.1730,0.0900,0.1210,0.5060,1.0000
Dadra & Nagar Haveli,0.1180,0.1690,0.1280,0.1580,0.4280,1.0000
Daman & Diu,0.0590,0.1460,0.1660,0.2180,0.4100,1.0000
Goa,0.0220,0.1220,0.1300,0.1560,0.5690,1.0000
Gujarat,0.1110,0.1310,0.1260,0.1530,0.4790,1.0000
Haryana,0.0730,0.1060,0.0860,0.1160,0.6190,1.0000
Himachal Pradesh,0.0380,0.1020,0.0780,0.1110,0.6710,1.0000
Jammu & Kashmir,0.0570,0.1490,0.1880,0.2010,0.4050,1.0000
Jharkhand,0.1530,0.1770,0.1600,0.1570,0.3530,1.0000
Karnataka,0.1280,0.1350,0.1390,0.1710,0.4270,1.0000
Kerala,0.0450,0.0860,0.1410,0.1380,0.5900,1.0000
Madhya Pradesh,0.1590,0.2120,0.1130,0.1220,0.3930,1.0000
Maharashtra,0.1080,0.1190,0.1080,0.1440,0.5200,1.0000
Manipur,0.0310,0.2040,0.1790,0.1440,0.4430,1.0000
Meghalaya,0.1000,0.1650,0.1750,0.2050,0.3560,1.0000
Mizoram,0.0520,0.2290,0.1660,0.1650,0.3870,1.0000
Nagaland,0.0440,0.1620,0.2460,0.2080,0.3400,1.0000
Odisha,0.0800,0.1430,0.1240,0.1230,0.5310,1.0000
Pondicherry,0.0950,0.1440,0.1950,0.1750,0.3900,1.0000
Punjab,0.0750,0.1210,0.1010,0.1080,0.5950,1.0000
Rajasthan,0.1370,0.1540,0.0890,0.1160,0.5040,1.0000
Sikkim,0.0370,0.1020,0.2080,0.1890,0.4640,1.0000
Tamil Nadu,0.0910,0.1000,0.1610,0.1670,0.4800,1.0000
Tripura,0.0590,0.1400,0.1880,0.1780,0.4360,1.0000
Uttar Pradesh,0.1790,0.2000,0.1040,0.1030,0.4140,1.0000
Uttarakhand,0.0910,0.1320,0.0910,0.1190,0.5670,1.0000
West Bengal,0.0740,0.1400,0.1370,0.1390,0.5100,1.0000
