Arithmetic Level Results for Enrolled Children - 2016 : All,,,,,,
State,Nothing,Number 1to9,Number 11to99,Subtraction,Division,Total
All India,0.1030,0.1800,0.2750,0.1890,0.2520,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA,NA
Arunachal Pradesh,0.0370,0.0890,0.3970,0.2520,0.2240,1.0000
Assam,0.1240,0.1940,0.2970,0.2350,0.1490,1.0000
Bihar,0.1360,0.1750,0.1940,0.1460,0.3490,1.0000
Chhattisgarh,0.0710,0.2410,0.3120,0.1860,0.1900,1.0000
Dadra & Nagar Haveli,0.0780,0.2510,0.3550,0.1960,0.1190,1.0000
Daman & Diu,0.0840,0.1640,0.2810,0.2620,0.2080,1.0000
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.1020,0.1970,0.3040,0.2150,0.1810,1.0000
Haryana,0.0510,0.1020,0.1950,0.2160,0.4350,1.0000
Himachal Pradesh,0.0130,0.0780,0.2330,0.2440,0.4330,1.0000
Jammu & Kashmir,0.0550,0.1160,0.3300,0.2500,0.2480,1.0000
Jharkhand,0.1260,0.2400,0.2430,0.1580,0.2340,1.0000
Karnataka,0.0970,0.1110,0.3260,0.2530,0.2140,1.0000
Kerala,0.0400,0.0710,0.3260,0.2060,0.3570,1.0000
Madhya Pradesh,0.1230,0.2410,0.2850,0.1520,0.2000,1.0000
Maharashtra,0.0720,0.1810,0.3600,0.2020,0.1840,1.0000
Manipur,0.0390,0.0820,0.3420,0.2120,0.3250,1.0000
Meghalaya,0.0810,0.1340,0.4650,0.2240,0.0960,1.0000
Mizoram,0.0600,0.1100,0.2750,0.2950,0.2600,1.0000
Nagaland,0.0740,0.0990,0.3590,0.2670,0.2010,1.0000
Odisha,0.0820,0.1620,0.2670,0.2310,0.2580,1.0000
Pondicherry,0.0300,0.0800,0.3290,0.3150,0.2450,1.0000
Punjab,0.0340,0.1020,0.2580,0.2290,0.3770,1.0000
Rajasthan,0.1040,0.1890,0.2380,0.1730,0.2950,1.0000
Sikkim,0.0410,0.0650,0.2740,0.3490,0.2710,1.0000
Tamil Nadu,0.0650,0.0780,0.3230,0.2630,0.2720,1.0000
Tripura,0.0470,0.1720,0.3230,0.2790,0.1790,1.0000
Uttar Pradesh,0.1420,0.2520,0.2540,0.1450,0.2080,1.0000
Uttarakhand,0.0660,0.1550,0.2880,0.2130,0.2780,1.0000
West Bengal,0.0790,0.1870,0.3370,0.1660,0.2300,1.0000
