Reading Level Results For Enrolled Children  - 2016 : All,,,,,,
State,Nothing,Letter,Word,Std1 Para,Std2 Para,Total
All India,0.1310,0.1600,0.1210,0.1310,0.4560,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA,NA
Arunachal Pradesh,0.0520,0.2380,0.2300,0.1860,0.2940,1.0000
Assam,0.1450,0.1540,0.1830,0.1590,0.3590,1.0000
Bihar,0.1850,0.1670,0.1060,0.1030,0.4390,1.0000
Chhattisgarh,0.1010,0.1750,0.0910,0.1230,0.5110,1.0000
Dadra & Nagar Haveli,0.0860,0.1550,0.1540,0.1540,0.4520,1.0000
Daman & Diu,0.1050,0.1040,0.1060,0.1450,0.5400,1.0000
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.0920,0.1330,0.1190,0.1640,0.4920,1.0000
Haryana,0.0610,0.0980,0.0940,0.1330,0.6140,1.0000
Himachal Pradesh,0.0250,0.0930,0.0760,0.1390,0.6670,1.0000
Jammu & Kashmir,0.0640,0.1540,0.2050,0.2170,0.3600,1.0000
Jharkhand,0.1750,0.2120,0.1290,0.1150,0.3700,1.0000
Karnataka,0.1350,0.1320,0.1770,0.1520,0.4040,1.0000
Kerala,0.0450,0.0900,0.1270,0.1240,0.6150,1.0000
Madhya Pradesh,0.1460,0.2140,0.1110,0.1230,0.4070,1.0000
Maharashtra,0.0870,0.1170,0.1000,0.1480,0.5480,1.0000
Manipur,0.0500,0.2190,0.1640,0.1350,0.4320,1.0000
Meghalaya,0.0830,0.1990,0.2070,0.1920,0.3200,1.0000
Mizoram,0.0730,0.1850,0.2140,0.1790,0.3500,1.0000
Nagaland,0.0800,0.1560,0.2610,0.1580,0.3460,1.0000
Odisha,0.0940,0.1280,0.1310,0.1290,0.5170,1.0000
Pondicherry,0.0980,0.1480,0.1720,0.2130,0.3690,1.0000
Punjab,0.0620,0.1140,0.1070,0.1200,0.5970,1.0000
Rajasthan,0.1240,0.1500,0.0910,0.1170,0.5170,1.0000
Sikkim,0.0420,0.0830,0.1990,0.1800,0.4970,1.0000
Tamil Nadu,0.0970,0.1020,0.1540,0.1720,0.4750,1.0000
Tripura,0.0560,0.1660,0.1740,0.1580,0.4470,1.0000
Uttar Pradesh,0.1760,0.2130,0.1000,0.1170,0.3940,1.0000
Uttarakhand,0.0790,0.1330,0.0990,0.1330,0.5560,1.0000
West Bengal,0.0940,0.1490,0.1450,0.1420,0.4700,1.0000
