Arithmetic Level Results for Enrolled Children - 2018 : All,,,,,,
State,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Total
All India,0.0800,0.1730,0.2920,0.1900,0.2650,1.0000
Andhra Pradesh & Telengana,NA,NA,NA,NA,NA,NA
Arunachal Pradesh,0.0420,0.0930,0.3850,0.2510,0.2290,1.0000
Assam,0.0640,0.1900,0.3030,0.2560,0.1870,1.0000
Bihar,0.1150,0.1860,0.2200,0.1420,0.3370,1.0000
Chhattisgarh,0.0660,0.2160,0.3330,0.1820,0.2030,1.0000
Dadra & Nagar Haveli,NA,NA,NA,NA,NA,NA
Daman & Diu,NA,NA,NA,NA,NA,NA
Goa,NA,NA,NA,NA,NA,NA
Gujarat,0.0670,0.1800,0.2850,0.2430,0.2260,1.0000
Haryana,0.0330,0.0940,0.2280,0.2080,0.4380,1.0000
Himachal Pradesh,0.0160,0.0730,0.2450,0.2300,0.4360,1.0000
Jammu & Kashmir,0.0330,0.1180,0.3620,0.2790,0.2080,1.0000
Jharkhand,0.1200,0.2110,0.2660,0.1720,0.2310,1.0000
Karnataka,0.0600,0.1040,0.3890,0.2330,0.2160,1.0000
Kerala,0.0090,0.0420,0.3490,0.2400,0.3600,1.0000
Madhya Pradesh,0.1090,0.2390,0.2920,0.1470,0.2130,1.0000
Maharashtra,0.0580,0.1670,0.3390,0.1990,0.2360,1.0000
Manipur,0.0050,0.0250,0.3150,0.2260,0.4300,1.0000
Meghalaya,0.0250,0.1000,0.5080,0.2660,0.1010,1.0000
Mizoram,0.0400,0.0680,0.2200,0.3290,0.3430,1.0000
Nagaland,0.0220,0.0630,0.3830,0.2920,0.2400,1.0000
Odisha,0.0860,0.1640,0.3020,0.1970,0.2500,1.0000
Pondicherry,NA,NA,NA,NA,NA,NA
Punjab,0.0250,0.0740,0.2570,0.2270,0.4160,1.0000
Rajasthan,0.1100,0.2120,0.2740,0.1650,0.2380,1.0000
Sikkim,0.0130,0.0610,0.3140,0.3320,0.2810,1.0000
Tamil Nadu,0.0380,0.0980,0.3130,0.2550,0.2970,1.0000
Tripura,0.0270,0.1670,0.3620,0.2540,0.1910,1.0000
Uttar Pradesh,0.1020,0.2180,0.2620,0.1590,0.2600,1.0000
Uttarakhand,0.0460,0.1330,0.3210,0.1960,0.3040,1.0000
West Bengal,0.0520,0.1840,0.3540,0.1770,0.2330,1.0000
