Enrolment Levels in School - Gender : Female - All India,,,,,
Years,Govt,Pvt,Other,Out_of_School,Total
2006,0.7174,0.1732,0.0134,0.0960,1.0000
2007,0.7404,0.1852,0.0122,0.0622,1.0000
2008,0.7116,0.2085,0.0137,0.0662,1.0000
2009,0.7162,0.2082,0.0129,0.0627,1.0000
2010,0.7078,0.2276,0.0104,0.0542,1.0000
2011,0.6947,0.2365,0.0121,0.0568,1.0000
2012,0.6720,0.2570,0.0120,0.0580,1.0000
2013,0.6750,0.2600,0.0100,0.0550,1.0000
2014,0.6620,0.2710,0.0110,0.0560,1.0000
2016,0.6660,0.2710,0.0100,0.0530,1.0000
2018,0.6720,0.2690,0.0070,0.0510,1.0000
